PhotoPath,ModelName,ModelFile,Description
models/new_design/6gen kilit.jpeg,6 Gen Kilit,models/new_design/Wro Ana Şase_Wro Ana Şase_6 Gen Kilit.3mf,"A small locking component used to secure assemblies or gears in place; provides a simple physical latch to prevent undesired rotation or disassembly."
models/new_design/ackerman cubugu.jpeg,Ackerman Çubuğu (Ackerman rod),models/new_design/Wro Ana Şase_Wro Ana Şase_Ackerman Çubuğu.3mf,"Steering linkage implementing Ackerman geometry; translates servo motion into coordinated steering of the front wheels."
models/new_design/alt sase.jpeg,Alt Şase (Lower chassis),models/new_design/Wro Ana Şase_Wro Ana Şase_Alt Şase.3mf,"The lower chassis plate that forms the base of the vehicle; provides mounting points for motors, axles, and electronics."
models/new_design/guc aktarim.jpeg,Arka Güç Aktarım (Rear power transmission),models/new_design/Wro Ana Şase_Wro Ana Şase_Arka Güç Aktarım.3mf,"Gear or coupling assembly that transmits torque from the motor to the rear axle; critical for drivetrain power transfer."
models/new_design/arka mil.jpeg,Arka Mil (Rear axle),models/new_design/Wro Ana Şase_Wro Ana Şase_Arka Mil.3mf,"The rear axle shaft that carries the rear wheels and transfers rotational motion from the drivetrain to the wheels."
models/new_design/board.jpeg,Board (electronic board placeholder),models/new_design/Wro Ana Şase_Wro Ana Şase_Board Basılmayacak.3mf,"A placeholder or mounting plate intended to show where the electronics board is positioned; labeled as not-for-print in the filename."
models/new_design/kamera tutucu govde.jpeg,Kamera Tutucu Gövde (Camera mount body),models/new_design/Wro Ana Şase_Wro Ana Şase_Kamera Tutucu Gövde.3mf,"Main body component of the camera mount that provides structural support and attachment points for head and base."
models/new_design/kamera tutucu kafa.jpeg,Kamera Tutucu Kafa (Camera head),models/new_design/Wro Ana Şase_Wro Ana Şase_Kamera Tutucu Kafa .3mf,"The articulated head piece that allows the camera to be angled or tilted for different viewing orientations."
models/new_design/kamera tutucu temel.jpeg,Kamera Tutucu Temel (Camera mount base),models/new_design/Wro Ana Şase_Wro Ana Şase_Kamera Tutucu Temel.3mf,"Base plate for the camera mount that secures the camera assembly to the chassis."
models/new_design/kopru son.jpeg,Köprü Son (Bridge end),models/new_design/Wro Ana Şase_Wro Ana Şase_Köprü Son.3mf,"Structural connector or end-piece used to join sections of the chassis or reinforce spans between components."
models/new_design/on tekerlek mili.jpeg,Ön Tekerlek Mili (Front wheel axle),models/new_design/Wro Ana Şase_Wro Ana Şase_Ön Tekerlek Mili.3mf,"Front wheel axle that supports the front wheels and links to steering components."
models/new_design/sag mil.jpeg,Sağ Mil (Right shaft),models/new_design/Wro Ana Şase_Wro Ana Şase_Sağ Mil.3mf,"Right-side shaft used for mounting wheels or drivetrain components; matches the left-side counterpart."
models/new_design/servo tutucu.jpeg,Servo Tutucu Kule (Servo holder tower),models/new_design/Wro Ana Şase_Wro Ana Şase_Servo Tutucu Kule.3mf,"Tower structure designed to hold a servo securely above the chassis for steering or actuation."
models/new_design/servodan ackerman cubugu.jpeg,Servodan Ackerman Çubuğu (Servo-to-Ackerman rod),models/new_design/Wro Ana Şase_Wro Ana Şase_Servodan Ackerman Çubuğu.3mf,"Short linkage that connects the servo output horn to the Ackerman steering rod, enabling responsive steering control."
models/new_design/sol mil.jpeg,Sol Mil (Left shaft),models/new_design/Wro Ana Şase_Wro Ana Şase_Sol Mil.3mf,"Left-side shaft counterpart to the right shaft; supports wheel or drivetrain mounting on the left side."
models/new_design/tekerlek.jpeg,Tekerlek (Wheel),models/new_design/Wro Ana Şase_Wro Ana Şase_Tekerlek.3mf,"Standard wheel design for the vehicle; intended to be mounted on the front or rear axles depending on fit."
